player,current_value,main_position,other_positions,nationality,date_of_birth,city_of_birth,country_of_birth,height,current_club,contract_expires,on_loan_from,contract_there_expires,number,foot,outfitter,age
Hiroki Ito,25.0,Centre Back,"Left-Back, Defensive Midfield",Japan,1999-05-12,"Hamamatsu, Shizuoka  ",Japan,188,VfB Stuttgart,2027-06-30,-,,21,left,,25
Sean Longstaff,25.0,Central Midfield,"Attacking Midfield, Defensive Midfield",England,1997-10-30,Newcastle upon Tyne  ,England,187,Newcastle United,2025-06-30,-,,36,right,,27
Rico Henry,25.0,Left Back,Left Midfield,England,1997-07-08,Birmingham  ,England,170,Brentford FC,2026-06-30,-,,3,left,,27
Denis Zakaria,25.0,Defensive Midfield,"Central Midfield, Centre-Back",Switzerland,1996-11-20,Genf  ,Switzerland,190,AS Monaco,2028-06-30,-,,6,right,adidas,28
Weston McKennie,25.0,Central Midfield,"Right Midfield, Defensive Midfield",USA,1998-08-28,"Little Elm, Texas  ",United States,185,Juventus FC,2025-06-30,-,,16,right,adidas,26
Gianluca Scamacca,25.0,Centre Forward,,Italy,1999-01-01,Roma  ,Italy,195,Atalanta BC,2027-06-30,-,,90,right,Nike,25
Marcus Edwards,25.0,Right Winger,"Attacking Midfield, Left Winger",England,1998-12-03,London  ,England,168,Sporting CP,2026-06-30,-,,10,left,,26
Hee-chan Hwang,25.0,Centre Forward,"Left Winger, Right Winger",South Korea,1996-01-26,"Chuncheon, Gangwon  ","Korea, South",177,Wolverhampton Wanderers,2028-06-30,-,,11,right,,28
Lorenzo Pellegrini,25.0,Attacking Midfield,"Central Midfield, Defensive Midfield",Italy,1996-06-19,Roma  ,Italy,186,AS Roma,2026-06-30,-,,7,right,Nike,28
Marc Cucurella,25.0,Left Back,"Left Midfield, Centre-Back",Spain,1998-07-22,Alella  ,Spain,173,Chelsea FC,2028-06-30,-,,3,left,Puma,26
Mario Hermoso,25.0,Centre Back,Left-Back,Spain,1995-06-18,Madrid  ,Spain,184,Atlético de Madrid,2024-06-30,-,,22,left,,29
Chris Führich,25.0,Left Winger,"Right Winger, Second Striker",Germany,1998-01-09,Castrop-Rauxel  ,Germany,181,VfB Stuttgart,2028-06-30,-,,27,right,,26
Kevin Danso,25.0,Centre Back,,Austria,1998-09-19,Voitsberg  ,Austria,190,RC Lens,2027-06-30,-,,4,right,Puma,26
Unai Simón,25.0,Goalkeeper,,Spain,1997-06-11,Vitoria-Gasteiz  ,Spain,190,Athletic Bilbao,2025-06-30,-,,1,right,,27
Aleix García,25.0,Central Midfield,"Defensive Midfield, Attacking Midfield",Spain,1997-06-28,Ulldecona  ,Spain,173,Girona FC,2026-06-30,-,,14,right,,27
Joe Gomez,25.0,Centre Back,"Right-Back, Left-Back",England,1997-05-23,London  ,England,188,Liverpool FC,2027-06-30,-,,2,right,Nike,27
Iñaki Williams,25.0,Right Winger,"Centre-Forward, Left Winger",Ghana,1994-06-15,Bilbao  ,Spain,186,Athletic Bilbao,2028-06-30,-,,9,right,Nike,30
José María Giménez,25.0,Centre Back,"Right-Back, Defensive Midfield",Uruguay,1995-01-20,Toledo  ,Uruguay,185,Atlético de Madrid,2028-06-30,-,,2,right,Puma,29
Youri Tielemans,25.0,Central Midfield,"Defensive Midfield, Attacking Midfield",Belgium,1997-05-07,Sint-Pieters-Leeuw  ,Belgium,177,Aston Villa,2027-06-30,-,,8,right,Nike,27
Álex Remiro,25.0,Goalkeeper,,Spain,1995-03-24,Cascante  ,Spain,191,Real Sociedad,2027-06-30,-,,1,right,,29
Paulo Dybala,25.0,Second Striker,"Centre-Forward, Right Winger",Argentina,1993-11-15,Laguna Larga  ,Argentina,177,AS Roma,2025-06-30,-,,21,left,adidas,31
Ruben Loftus-Cheek,25.0,Central Midfield,"Attacking Midfield, Defensive Midfield",England,1996-01-23,London  ,England,191,AC Milan,2027-06-30,-,,8,right,adidas,28
Piotr Zieliński,25.0,Central Midfield,"Attacking Midfield, Left Midfield",Poland,1994-05-20,Ząbkowice Śląskie  ,Poland,180,SSC Napoli,2024-06-30,-,,20,both,Nike,30
Aymeric Laporte,25.0,Centre Back,,Spain,1994-05-27,Agen  ,France,191,Al-Nassr FC,2026-06-30,-,,27,left,adidas,30
Raphaël Varane,25.0,Centre Back,,France,1993-04-25,Lille  ,France,191,Manchester United,2024-06-30,-,,19,right,Puma,31
Kurt Zouma,25.0,Centre Back,Right-Back,France,1994-10-27,Lyon  ,France,190,West Ham United,2025-06-30,-,,4,right,,30
Antoine Griezmann,25.0,Centre Forward,"Second Striker, Left Winger",France,1991-03-21,Mâcon  ,France,176,Atlético de Madrid,2026-06-30,-,,7,left,Puma,33
Marco Verratti,25.0,Central Midfield,Defensive Midfield,Italy,1992-11-05,Pescara  ,Italy,165,Al-Arabi SC,2025-06-30,-,,7,right,Nike,32
Antonio Rüdiger,25.0,Centre Back,Right-Back,Germany,1993-03-03,Berlin  ,Germany,190,Real Madrid,2026-06-30,-,,22,right,Under Armour,31
David Alaba,25.0,Centre Back,"Left-Back, Central Midfield",Austria,1992-06-24,Wien  ,Austria,180,Real Madrid,2026-06-30,-,,4,left,adidas,32
Maximilian Beier,24.0,Centre Forward,"Right Winger, Left Winger",Germany,2002-10-17,Brandenburg an der Havel  ,Germany,185,TSG 1899 Hoffenheim,2027-06-30,-,,14,right,,22
Lewis Ferguson,24.0,Attacking Midfield,Central Midfield,Scotland,1999-08-24,Hamilton  ,Scotland,181,Bologna FC 1909,2027-06-30,-,,19,right,,25
Eljif Elmas,24.0,Attacking Midfield,"Left Winger, Central Midfield",North Macedonia,1999-09-24,Skopje  ,Macedonia,184,RB Leipzig,2028-06-30,-,,6,right,,25
Evan Ndicka,24.0,Centre Back,,Ivory Coast,1999-08-20,Paris  ,France,192,AS Roma,2028-06-30,-,,5,left,,25
Jerdy Schouten,24.0,Defensive Midfield,"Centre-Back, Central Midfield",Netherlands,1997-01-12,Spijkenisse  ,Netherlands,185,PSV Eindhoven,2028-06-30,-,,22,right,,27
Guido Rodríguez,24.0,Defensive Midfield,Central Midfield,Argentina,1994-04-12,Sáenz Peña  ,Argentina,185,Real Betis Balompié,2024-06-30,-,,5,right,,30
Quilindschy Hartman,23.0,Left Back,,Netherlands,2001-11-14,Zwijndrecht  ,Netherlands,183,Feyenoord Rotterdam,2026-06-30,-,,5,left,Puma,23
Yunus Musah,23.0,Central Midfield,"Attacking Midfield, Right Midfield",USA,2002-11-29,"New York City, New York  ",United States,178,AC Milan,2028-06-30,-,,80,right,Puma,22
Tijjani Reijnders,23.0,Central Midfield,"Defensive Midfield, Attacking Midfield",Netherlands,1998-07-29,Zwolle  ,Netherlands,185,AC Milan,2028-06-30,-,,14,right,Mizuno,26
Nathan Tella,23.0,Right Winger,"Left Winger, Right Midfield",Nigeria,1999-07-05,Stevenage  ,England,173,Bayer 04 Leverkusen,2028-06-30,-,,19,right,,25
Lewis Miley,22.0,Central Midfield,"Attacking Midfield, Defensive Midfield",England,2006-05-01,Stanley  ,England,189,Newcastle United,2029-06-30,-,,67,right,,18
Jorrel Hato,22.0,Centre Back,Left-Back,Netherlands,2006-03-07,Rotterdam  ,Netherlands,182,Ajax Amsterdam,2028-06-30,-,,4,left,,18
Tyrick Mitchell,22.0,Left Back,Left Midfield,England,1999-09-01,London  ,England,175,Crystal Palace,2025-06-30,-,,3,left,,25
Julio Enciso,22.0,Attacking Midfield,"Centre-Forward, Left Winger",Paraguay,2004-01-23,Caaguazú  ,Paraguay,173,Brighton & Hove Albion,2026-06-30,-,,10,right,adidas,20
Beto,22.0,Centre Forward,,Portugal,1998-01-31,Lisboa  ,Portugal,194,Everton FC,2027-06-30,-,,14,right,,26
Anthony Elanga,22.0,Left Winger,"Centre-Forward, Right Winger",Sweden,2002-04-27,Hyllie  ,Sweden,178,Nottingham Forest,2028-06-30,-,,21,right,Nike,22
Kang-in Lee,22.0,Attacking Midfield,"Left Winger, Right Winger",South Korea,2001-02-19,Incheon  ,"Korea, South",173,Paris Saint-Germain,2028-06-30,-,,19,left,adidas,23
James Garner,22.0,Defensive Midfield,"Central Midfield, Right-Back",England,2001-03-13,Birkenhead  ,England,182,Everton FC,2026-06-30,-,,37,right,,23
Taylor Harwood-Bellis,22.0,Centre Back,,England,2002-01-30,Stockport  ,England,188,Southampton FC,2024-05-31,Manchester City,2025-06-30,21,right,,22
Wendel,22.0,Central Midfield,"Attacking Midfield, Defensive Midfield",Brazil,1997-08-28,Duque de Caxias  ,Brazil,180,Zenit St. Petersburg,2027-06-30,-,,8,right,Nike,27
Sacha Boey,22.0,Right Back,,France,2000-09-13,Montreuil  ,France,178,Bayern Munich,2028-06-30,-,,23,right,Nike,24
Lucas Chevalier,22.0,Goalkeeper,,France,2001-11-06,Calais  ,France,189,LOSC Lille,2027-06-30,-,,30,right,adidas,23
Omar Marmoush,22.0,Centre Forward,"Left Winger, Right Winger",Egypt,1999-02-07,Kairo  ,Egypt,183,Eintracht Frankfurt,2027-06-30,-,,7,right,Nike,25
Pedro,22.0,Centre Forward,,Brazil,1997-06-20,Rio de Janeiro  ,Brazil,185,CR Flamengo,2027-12-31,-,,9,right,adidas,27
Quinten Timber,22.0,Central Midfield,"Defensive Midfield, Attacking Midfield",Netherlands,2001-06-17,Utrecht  ,Netherlands,179,Feyenoord Rotterdam,2026-06-30,-,,8,right,adidas,23
Jack Harrison,22.0,Right Winger,Left Winger,England,1996-11-20,Stoke-on-Trent  ,England,175,Everton FC,2024-05-31,Leeds United,2028-06-30,11,left,,28
Angel Gomes,22.0,Attacking Midfield,"Central Midfield, Defensive Midfield",England,2000-08-31,London  ,England,168,LOSC Lille,2025-06-30,-,,8,right,Nike,24
Sergiño Dest,22.0,Left Back,Right-Back,USA,2000-11-03,Almere  ,Netherlands,173,PSV Eindhoven,2024-06-30,FC Barcelona,2025-06-30,8,right,,24
Igor Zubeldia,22.0,Centre Back,"Central Midfield, Defensive Midfield",Spain,1997-03-30,Azkoitia  ,Spain,181,Real Sociedad,2029-06-30,-,,5,right,,27
Deniz Undav,22.0,Centre Forward,"Second Striker, Attacking Midfield",Germany,1996-07-19,Varel  ,Germany,179,VfB Stuttgart,2024-06-30,Brighton & Hove Albion,2026-06-30,26,right,,28
Konstantinos Tsimikas,22.0,Left Back,,Greece,1996-05-12,Thessaloniki  ,Greece,179,Liverpool FC,2027-06-30,-,,21,left,adidas,28
Vangelis Pavlidis,22.0,Centre Forward,"Left Winger, Second Striker",Greece,1998-11-21,Thessaloniki  ,Greece,186,AZ Alkmaar,2025-06-30,-,,9,both,adidas,26
Emiliano Buendía,22.0,Right Winger,"Left Winger, Attacking Midfield",Argentina,1996-12-25,Mar del Plata  ,Argentina,172,Aston Villa,2026-06-30,-,,10,right,,28
Philip Billing,22.0,Central Midfield,"Defensive Midfield, Attacking Midfield",Denmark,1996-06-11,Copenhagen  ,Denmark,193,AFC Bournemouth,2027-06-30,-,,29,left,adidas,28
Dominic Calvert-Lewin,22.0,Centre Forward,"Second Striker, Left Winger",England,1997-03-16,Sheffield  ,England,189,Everton FC,2025-06-30,-,,9,right,Nike,27
Albert Gudmundsson,22.0,Second Striker,"Left Winger, Right Winger",Iceland,1997-06-15,Reykjavík  ,Iceland,177,Genoa CFC,2027-06-30,-,,11,right,,27
Saïd Benrahma,22.0,Left Winger,"Right Winger, Attacking Midfield",Algeria,1995-08-10,Aïn Témouchent  ,Algeria,172,Olympique Lyon,2024-06-30,West Ham United,2026-06-30,17,right,,29
Orel Mangala,22.0,Central Midfield,Defensive Midfield,Belgium,1998-03-18,Brüssel  ,Belgium,178,Olympique Lyon,2024-06-30,Nottingham Forest,2026-06-30,25,right,adidas,26
Sofyan Amrabat,22.0,Defensive Midfield,"Central Midfield, Left-Back",Morocco,1996-08-21,Huizen  ,Netherlands,185,Manchester United,2024-06-30,ACF Fiorentina,2025-06-30,4,right,Nike,28
Mattia Zaccagni,22.0,Left Winger,"Attacking Midfield, Central Midfield",Italy,1995-06-16,Cesena  ,Italy,177,SS Lazio,2029-06-30,-,,20,right,,29
Issa Diop,22.0,Centre Back,,France,1997-01-09,Toulouse  ,France,194,Fulham FC,2027-06-30,-,,31,right,adidas,27
Vitaly Janelt,22.0,Defensive Midfield,"Central Midfield, Left-Back",Germany,1998-05-10,Hamburg  ,Germany,184,Brentford FC,2026-06-30,-,,27,left,,26
Patrik Schick,22.0,Centre Forward,"Right Winger, Second Striker",Czechia,1996-01-24,Praha  ,Czech Republic,191,Bayer 04 Leverkusen,2027-06-30,-,,14,left,,28
Solly March,22.0,Right Winger,"Left Winger, Attacking Midfield",England,1994-07-20,Eastbourne  ,England,180,Brighton & Hove Albion,2026-06-30,-,,7,left,,30
Niklas Süle,22.0,Centre Back,Right-Back,Germany,1995-09-03,Frankfurt am Main  ,Germany,195,Borussia Dortmund,2026-06-30,-,,25,right,Nike,29
Jordan Pickford,22.0,Goalkeeper,,England,1994-03-07,Washington  ,England,185,Everton FC,2027-06-30,-,,1,left,Puma,30
Carlos Baleba,20.0,Defensive Midfield,Central Midfield,Cameroon,2004-01-03,Douala  ,Cameroon,179,Brighton & Hove Albion,2028-06-30,-,,20,left,Puma,20
Oscar Gloukh,20.0,Attacking Midfield,Central Midfield,Israel,2004-04-01,Rehovot  ,Israel,170,Red Bull Salzburg,2027-06-30,-,,30,both,,20
Désiré Doué,20.0,Attacking Midfield,"Central Midfield, Left Winger",France,2005-06-03,Angers  ,France,181,Stade Rennais FC,2026-06-30,-,,33,both,,19
Lucas Beraldo,20.0,Centre Back,Left-Back,Brazil,2003-11-24,Piracicaba  ,Brazil,182,Paris Saint-Germain,2028-06-30,-,,35,left,Nike,21
Alex Scott,20.0,Central Midfield,"Attacking Midfield, Right Midfield",England,2003-08-21,Guernsey  ,Guernsey,178,AFC Bournemouth,,-,,14,right,,21
Javi Guerra,20.0,Central Midfield,Defensive Midfield,Spain,2003-05-13,Valencia  ,Spain,187,Valencia CF,2027-06-30,-,,8,right,adidas,21
Dango Ouattara,20.0,Right Winger,Left Winger,Burkina Faso,2002-02-11,Ouagadougou  ,Burkina Faso,177,AFC Bournemouth,2028-06-30,-,,11,left,,22
Vanderson,20.0,Right Back,"Right Midfield, Right Winger",Brazil,2001-06-21,Rondonópolis  ,Brazil,173,AS Monaco,2028-06-30,-,,2,right,,23
Adam Wharton,20.0,Central Midfield,"Attacking Midfield, Defensive Midfield",England,2004-02-06,Blackburn  ,England,182,Crystal Palace,2029-06-30,-,,20,left,,20
Milos Kerkez,20.0,Left Back,Left Midfield,Hungary,2003-11-07,Vrbas  ,Serbia and Montenegro,180,AFC Bournemouth,,-,,3,left,,21
El Bilal Touré,20.0,Centre Forward,Right Winger,Mali,2001-10-03,Adjamé  ,Cote d'Ivoire,185,Atalanta BC,2027-06-30,-,,10,both,,23
Wilfried Singo,20.0,Right Back,"Centre-Back, Right Midfield",Ivory Coast,2000-12-25,Grand-Béréby  ,Cote d'Ivoire,190,AS Monaco,2028-06-30,-,,99,right,,24
Enzo Le Fée,20.0,Attacking Midfield,"Central Midfield, Left Midfield",France,2000-02-03,Lorient  ,France,173,Stade Rennais FC,2028-06-30,-,,28,right,,24
Ander Barrenetxea,20.0,Left Winger,"Right Winger, Right-Back",Spain,2001-12-27,Donostia-San Sebastián  ,Spain,175,Real Sociedad,2030-06-30,-,,7,right,,23
Carlos Augusto,20.0,Left Midfield,"Left-Back, Centre-Back",Brazil,1999-01-07,Campinas  ,Brazil,184,Inter Milan,2028-06-30,AC Monza,2025-06-30,30,left,,25
Arnaud Kalimuendo,20.0,Centre Forward,,France,2002-01-20,Suresnes  ,France,178,Stade Rennais FC,2027-06-30,-,,9,right,adidas,22
Dwight McNeil,20.0,Left Winger,"Left Midfield, Right Winger",England,1999-11-22,Rochdale  ,England,183,Everton FC,2027-06-30,-,,7,left,,25
Lazar Samardžić,20.0,Central Midfield,Attacking Midfield,Serbia,2002-02-24,Berlin  ,Germany,184,Udinese Calcio,2026-06-30,-,,24,left,adidas,22
Miguel Gutiérrez,20.0,Left Back,Left Midfield,Spain,2001-07-27,Madrid  ,Spain,180,Girona FC,2027-06-30,-,,3,left,,23
Amar Dedic,20.0,Right Back,"Left-Back, Centre-Back",Bosnia,2002-08-18,Zell am See  ,Austria,180,Red Bull Salzburg,2027-06-30,-,,70,right,,22
Giovanni Reyna,20.0,Attacking Midfield,"Right Winger, Left Winger",USA,2002-11-13,Durham  ,England,185,Nottingham Forest,2024-06-30,Borussia Dortmund,2026-06-30,20,right,adidas,22
Aaron Wan-Bissaka,20.0,Right Back,,England,1997-11-26,London  ,England,183,Manchester United,2025-06-30,-,,29,right,adidas,27
Renan Lodi,20.0,Left Back,Left Midfield,Brazil,1998-04-08,Serrana  ,Brazil,173,Al-Hilal SFC,2027-06-30,-,,6,left,,26
Marcos Senesi,20.0,Centre Back,,Argentina,1997-05-10,Concordia  ,Argentina,185,AFC Bournemouth,2026-06-30,-,,25,left,,27
Samuele Ricci,20.0,Defensive Midfield,Central Midfield,Italy,2001-08-21,Pontedera  ,Italy,181,Torino FC,2026-06-30,-,,28,right,,23
Maxence Lacroix,20.0,Centre Back,"Sweeper, Right-Back",France,2000-04-06,Villeneuve-Saint-Georges  ,France,190,VfL Wolfsburg,2025-06-30,-,,4,right,,24
Jørgen Strand Larsen,20.0,Centre Forward,"Right Winger, Left Winger",Norway,2000-02-06,Halden  ,Norway,193,Celta de Vigo,2028-06-30,-,,18,right,,24
Caio Henrique,20.0,Left Back,"Attacking Midfield, Left Midfield",Brazil,1997-07-31,Santos  ,Brazil,178,AS Monaco,2027-06-30,-,,12,left,,27
Ismaïla Sarr,20.0,Right Winger,"Centre-Forward, Left Winger",Senegal,1998-02-25,Saint-Louis  ,Senegal,185,Olympique Marseille,2028-06-30,-,,23,right,,26
Samuel Chukwueze,20.0,Right Winger,Left Winger,Nigeria,1999-05-22,Umahaia  ,Nigeria,172,AC Milan,2028-06-30,-,,21,left,,25
Dodô,20.0,Right Back,,Brazil,1998-11-17,Taubaté  ,Brazil,166,ACF Fiorentina,2027-06-30,-,,2,right,adidas,26
Marcus Tavernier,20.0,Left Winger,"Right Winger, Attacking Midfield",England,1999-03-22,Leeds  ,England,178,AFC Bournemouth,2028-06-30,-,,16,left,,25
Maxence Caqueret,20.0,Central Midfield,"Defensive Midfield, Attacking Midfield",France,2000-02-15,Vénissieux  ,France,174,Olympique Lyon,2027-06-30,-,,6,right,adidas,24
Nicolò Zaniolo,20.0,Attacking Midfield,"Right Winger, Second Striker",Italy,1999-07-02,Massa  ,Italy,190,Aston Villa,2024-06-30,Galatasaray,2027-06-30,22,left,adidas,25
Jonas Wind,20.0,Centre Forward,Second Striker,Denmark,1999-02-07,Hvidovre  ,Denmark,190,VfL Wolfsburg,2026-06-30,-,,23,right,,25
Yangel Herrera,20.0,Central Midfield,Defensive Midfield,Venezuela,1998-01-07,"La Guaira, Vargas  ",Venezuela,184,Girona FC,2027-06-30,-,,21,right,adidas,26
Carlos Soler,20.0,Central Midfield,"Right Midfield, Attacking Midfield",Spain,1997-01-02,Valencia  ,Spain,180,Paris Saint-Germain,2027-06-30,-,,28,right,adidas,27
Ferdi Kadıoğlu,20.0,Left Back,"Right-Back, Central Midfield",Türkiye,1999-10-07,Arnhem  ,Netherlands,174,Fenerbahce,2026-06-30,-,,7,right,,25
Arthur Theate,20.0,Centre Back,Left-Back,Belgium,2000-05-25,Liège  ,Belgium,185,Stade Rennais FC,2027-06-30,-,,5,left,,24
Florentino,20.0,Defensive Midfield,,Portugal,1999-08-19,Lobito  ,Angola,184,SL Benfica,2027-06-30,-,,61,right,adidas,25
Antonee Robinson,20.0,Left Back,Left Midfield,USA,1997-08-08,Milton Keynes  ,England,183,Fulham FC,2028-06-30,-,,33,left,,27
Noah Okafor,20.0,Centre Forward,"Left Winger, Right Winger",Switzerland,2000-05-24,Binningen  ,Switzerland,185,AC Milan,2028-06-30,-,,17,right,,24
Odsonne Edouard,20.0,Centre Forward,,France,1998-01-16,Kourou  ,French Guiana,187,Crystal Palace,2025-06-30,-,,22,right,,26
Kyle Walker-Peters,20.0,Right Back,Left-Back,England,1997-04-13,London  ,England,173,Southampton FC,2025-06-30,-,,2,right,adidas,27
Noa Lang,20.0,Left Winger,"Right Winger, Second Striker",Netherlands,1999-06-17,Capelle aan de IJssel  ,Netherlands,170,PSV Eindhoven,2028-06-30,-,,7,right,adidas,25
Sander Berge,20.0,Defensive Midfield,Central Midfield,Norway,1998-02-14,Bærum  ,Norway,195,Burnley FC,2027-06-30,-,,16,right,adidas,26
Christoph Baumgartner,20.0,Attacking Midfield,"Second Striker, Left Winger",Austria,1999-08-01,Horn  ,Austria,180,RB Leipzig,2028-06-30,-,,14,right,adidas,25
Sebastian Szymanski,20.0,Attacking Midfield,"Right Winger, Central Midfield",Poland,1999-05-10,Biała Podlaska  ,Poland,174,Fenerbahce,2027-06-30,-,,53,left,Nike,25
Marco Asensio,20.0,Right Winger,"Left Winger, Attacking Midfield",Spain,1996-01-21,Palma de Mallorca  ,Spain,182,Paris Saint-Germain,2026-06-30,-,,11,left,adidas,28
